"allele_id","allele_name","allele_type"
"S000003556-1-KanMX","mps3-1","TS allele with KanMX marker"
"S000000745-1-KanMX","mms21-1","TS allele with KanMX marker"
"S000003873-17-KanMX","nnf1-17","TS allele with KanMX marker"
"S000001900-14-KanMX","rpn11-14","TS allele with KanMX marker"
"S000003873-48-KanMX","nnf1-48","TS allele with KanMX marker"
"S000000201-ts-KanMX","pkc1-ts","TS allele with KanMX marker"
"S000003873-77-KanMX","nnf1-77","TS allele with KanMX marker"
"S000002216-1-KanMX","uso1-1","TS allele with KanMX marker"
"S000000201-1-KanMX","pkc1-1","TS allele with KanMX marker"
"S000005006-506-KanMX","gcd10-506","TS allele with KanMX marker"
"S000000201-2-KanMX","pkc1-2","TS allele with KanMX marker"
"S000003043-1-KanMX","mps2-1","TS allele with KanMX marker"
"S000000201-4-KanMX","pkc1-4","TS allele with KanMX marker"
"S000003043-2-KanMX","mps2-2","TS allele with KanMX marker"
"S000002646-f856aw860a-KanMX","sec26-f856aw860a","TS allele with KanMX marker"
"S000005005-5-KanMX","nop2-5","TS allele with KanMX marker"
"S000002646-11d26-KanMX","sec26-11d26","TS allele with KanMX marker"
"S000005005-4-KanMX","nop2-4","TS allele with KanMX marker"
"S000005005-6-KanMX","nop2-6","TS allele with KanMX marker"
"S000001111-1-KanMX","rrp4-1","TS allele with KanMX marker"
"S000004534-7-KanMX","pob3-7","TS allele with KanMX marker"
"S000004432-1-KanMX","sec39-1","TS allele with KanMX marker"
"S000005005-9-KanMX","nop2-9","TS allele with KanMX marker"
"S000004432-2-KanMX","sec39-2","TS allele with KanMX marker"
"S000005394-6-KanMX","smc5-6","TS allele with KanMX marker"
"S000004289-1-KanMX","yhc1-1","TS allele with KanMX marker"
"S000002428-1-KanMX","fal1-1","TS allele with KanMX marker"
"S000004289-2-KanMX","yhc1-2","TS allele with KanMX marker"
"S000002302-1-KanMX","cct4-1","TS allele with KanMX marker"
"S000004810-2-KanMX","vti1-2","TS allele with KanMX marker"
"S000004849-ts2-KanMX","taf9-ts2","TS allele with KanMX marker"
"S000004810-11-KanMX","vti1-11","TS allele with KanMX marker"
"S000001637-510-KanMX","srp102-510","TS allele with KanMX marker"
"S000004564-2-KanMX","taf13-2","TS allele with KanMX marker"
"S000000201-3-KanMX","pkc1-3","TS allele with KanMX marker"
"S000003061-15-KanMX","spc105-15","TS allele with KanMX marker"
"S000000451-1-KanMX","enp1-1","TS allele with KanMX marker"
"S000003335-1-KanMX","nop7-1","TS allele with KanMX marker"
"S000000469-1-KanMX","tsc10-1","TS allele with KanMX marker"
"S000002620-2-KanMX","tcp1-2","TS allele with KanMX marker"
"S000001525-11-KanMX","spc42-11","TS allele with KanMX marker"
"S000004035-11-KanMX","stu2-11","TS allele with KanMX marker"
"S000006154-5-KanMX","nsl1-5","TS allele with KanMX marker"
"S000003105-1-KanMX","sec27-1","TS allele with KanMX marker"
"S000001525-10-KanMX","spc42-10","TS allele with KanMX marker"
"S000003443-1-KanMX","zpr1-1","TS allele with KanMX marker"
"S000006154-6-KanMX","nsl1-6","TS allele with KanMX marker"
"S000003448-1-KanMX","gpi1-1","TS allele with KanMX marker"
"S000004035-10-KanMX","stu2-10","TS allele with KanMX marker"
"S000000130-8-KanMX","stu1-8","TS allele with KanMX marker"
"S000004035-12-KanMX","stu2-12","TS allele with KanMX marker"
"S000000259-1-KanMX","prp6-1","TS allele with KanMX marker"
"S000002990-2-KanMX","stt3-2","TS allele with KanMX marker"
"S000001371-20-KanMX","sec24-20","TS allele with KanMX marker"
"S000002700-47-KanMX","srp101-47","TS allele with KanMX marker"
"S000004840-ts1-KanMX","taf7-ts1","TS allele with KanMX marker"
"S000005798-1-KanMX","ytm1-1","TS allele with KanMX marker"
"S000004853-3-KanMX","cus1-3","TS allele with KanMX marker"
"S000003539-6-KanMX","ost1-6","TS allele with KanMX marker"
"S000005286-1-KanMX","rpc34-1","TS allele with KanMX marker"
"S000000760-1-KanMX","hyp2-1","TS allele with KanMX marker"
"S000005572-1-KanMX","dbp5-1","TS allele with KanMX marker"
"S000000760-3-KanMX","hyp2-3","TS allele with KanMX marker"
"S000006314-v78r-KanMX","rpc40-v78r","TS allele with KanMX marker"
"S000005700-6-KanMX","med4-6","TS allele with KanMX marker"
"S000000130-6-KanMX","stu1-6","TS allele with KanMX marker"
"S000005495-163-KanMX","med7-163","TS allele with KanMX marker"
"S000001794-ts-KanMX","prp16-ts","TS allele with KanMX marker"
"S000005495-141-KanMX","med7-141","TS allele with KanMX marker"
"S000004477-ts2-KanMX","taf11-ts2","TS allele with KanMX marker"
"S000000397-51-KanMX","med8-51","TS allele with KanMX marker"
"S000002969-1-KanMX","erg26-1","TS allele with KanMX marker"
"S000004289-7-KanMX","yhc1-7","TS allele with KanMX marker"
"S000005062-7-KanMX","dcp2-7","TS allele with KanMX marker"
"S000001405-ts-KanMX","ssl2-ts","TS allele with KanMX marker"
"S000001377-1-KanMX","nup159-1","TS allele with KanMX marker"
"S000001412-43-KanMX","mcm10-43","TS allele with KanMX marker"
"S000003926-7-KanMX","sfi1-7","TS allele with KanMX marker"
"S000004035-13-KanMX","stu2-13","TS allele with KanMX marker"
"S000003450-1-KanMX","crm1-1","TS allele with KanMX marker"
"S000005019-2-KanMX","imp4-2","TS allele with KanMX marker"
"S000003033-1-KanMX","alg2-1","TS allele with KanMX marker"
"S000005730-199-KanMX","ded1-199","TS allele with KanMX marker"
"S000005997-1-7b-KanMX","gpi2-1-7b","TS allele with KanMX marker"
"S000005160-1-KanMX","rap1-1","TS allele with KanMX marker"
"S000005997-774-KanMX","gpi2-774","TS allele with KanMX marker"
"S000005160-2-KanMX","rap1-2","TS allele with KanMX marker"
"S000000927-sm1-KanMX","rsp5-sm1","TS allele with KanMX marker"
"S000005770-l254p-KanMX","esa1-l254p","TS allele with KanMX marker"
"S000000927-3-KanMX","rsp5-3","TS allele with KanMX marker"
"S000005730-95-KanMX","ded1-95","TS allele with KanMX marker"
"S000004951-6-KanMX","lst8-6","TS allele with KanMX marker"
"S000004951-15-KanMX","lst8-15","TS allele with KanMX marker"
"S000005770-d414-KanMX","esa1-d414","TS allele with KanMX marker"
"S000005775-ca-paps-KanMX","apc5-ca-paps","TS allele with KanMX marker"
"S000001865-23-KanMX","cak1-23","TS allele with KanMX marker"
"S000005775-ca-KanMX","apc5-ca","TS allele with KanMX marker"
"S000004375-9-KanMX","smc6-9","TS allele with KanMX marker"
"S000003012-58-KanMX","rna15-58","TS allele with KanMX marker"
"S000003306-1-KanMX","smd1-1","TS allele with KanMX marker"
"S000003709-313-KanMX","rfa3-313","TS allele with KanMX marker"
"S000000760-ts-KanMX","hyp2-ts","TS allele with KanMX marker"
"S000001380-1-KanMX","rho3-1","TS allele with KanMX marker"
"S000000760-2-KanMX","hyp2-2","TS allele with KanMX marker"
"S000000397-39-KanMX","med8-39","TS allele with KanMX marker"
"S000002495-ts1-KanMX","slu7-ts1","TS allele with KanMX marker"
"S000003995-t242i-KanMX","ssl1-t242i","TS allele with KanMX marker"
"S000002495-ts2-KanMX","slu7-ts2","TS allele with KanMX marker"
"S000000895-1-KanMX","tsc11-1","TS allele with KanMX marker"
"S000005062-7_-KanMX","dcp2-7_","TS allele with KanMX marker"
"S000000895-7-KanMX","tsc11-7","TS allele with KanMX marker"
"S000005430-61-KanMX","nuf2-61","TS allele with KanMX marker"
"S000005964-3-KanMX","nop4-3","TS allele with KanMX marker"
"S000005770-1851-KanMX","esa1-1851","TS allele with KanMX marker"
"S000005318-5-KanMX","arc35-5","TS allele with KanMX marker"
"S000005941-333-KanMX","ulp1-333","TS allele with KanMX marker"
"S000005318-6-KanMX","arc35-6","TS allele with KanMX marker"
"S000000359-1-KanMX","cns1-1","TS allele with KanMX marker"
"S000003323-1-KanMX","prp31-1","TS allele with KanMX marker"
"S000000327-e447k-KanMX","tfc1-e447k","TS allele with KanMX marker"
"S000000820-1-KanMX","spc25-1","TS allele with KanMX marker"
"S000005856-d338-KanMX","scd5-d338","TS allele with KanMX marker"
"S000006096-1-10c-KanMX","spt14-1-10c","TS allele with KanMX marker"
"S000005856-pp1d2-KanMX","scd5-pp1d2","TS allele with KanMX marker"
"S000003926-3-KanMX","sfi1-3","TS allele with KanMX marker"
"S000007521-2-KanMX","tsc3-2","TS allele with KanMX marker"
"S000000950-p65s-KanMX","spt15-p65s","TS allele with KanMX marker"
"S000001676-5-KanMX","sds22-5","TS allele with KanMX marker"
"S000003388-ts7-KanMX","pti1-ts7","TS allele with KanMX marker"
"S000001676-6-KanMX","sds22-6","TS allele with KanMX marker"
"S000003478-w107r-KanMX","brf1-w107r","TS allele with KanMX marker"
"S000002651-101-KanMX","prp28-101","TS allele with KanMX marker"
"S000005336-1-KanMX","nog2-1","TS allele with KanMX marker"
"S000002469-2-KanMX","lcb2-2","TS allele with KanMX marker"
"S000003307-1-KanMX","prp38-1","TS allele with KanMX marker"
"S000000814-1-KanMX","pre1-1","TS allele with KanMX marker"
"S000001710-1-KanMX","pap1-1","TS allele with KanMX marker"
"S000003417-1-KanMX","tys1-1","TS allele with KanMX marker"
"S000001229-1-KanMX","kog1-1","TS allele with KanMX marker"
"S000003954-3-KanMX","gpi13-3","TS allele with KanMX marker"
"S000003538-2-KanMX","pre3-2","TS allele with KanMX marker"
"S000003954-5-KanMX","gpi13-5","TS allele with KanMX marker"
"S000004723-2-KanMX","spc24 4-2","TS allele with KanMX marker"
"S000004016-1-KanMX","sed5-1","TS allele with KanMX marker"
"S000004778-1-KanMX","cep3-1","TS allele with KanMX marker"
"S000004068-1-KanMX","bos1-1","TS allele with KanMX marker"
"S000000264-1-KanMX","orc2-1","TS allele with KanMX marker"
"S000004451-1-KanMX","gab1-1","TS allele with KanMX marker"
"S000003826-g302y-KanMX","arp3-g302y","TS allele with KanMX marker"
"S000004451-2-KanMX","gab1-2","TS allele with KanMX marker"
"S000003826-h161a-KanMX","arp3-h161a","TS allele with KanMX marker"
"S000004451-3-KanMX","gab1-3","TS allele with KanMX marker"
"S000003826-g15c-KanMX","arp3-g15c","TS allele with KanMX marker"
"S000004599-1-KanMX","ero1-1","TS allele with KanMX marker"
"S000003826-f306g-KanMX","arp3-f306g","TS allele with KanMX marker"
"S000005675-2-KanMX","smp3-2","TS allele with KanMX marker"
"S000002266-ts-KanMX","kin28-ts","TS allele with KanMX marker"
"S000002620-1-KanMX","tcp1-1","TS allele with KanMX marker"
"S000001412-1-KanMX","mcm10-1","TS allele with KanMX marker"
"S000002166-13-KanMX","apc11-13","TS allele with KanMX marker"
"S000000119-1-KanMX","mcm2-1","TS allele with KanMX marker"
"S000002770-m1-KanMX","tfc6-m1","TS allele with KanMX marker"
"S000000758-1-KanMX","mcm3-1","TS allele with KanMX marker"
"S000002802-1-KanMX","rpt3-1","TS allele with KanMX marker"
"S000001572-3-KanMX","mif2-3","TS allele with KanMX marker"
"S000000808-2-KanMX","nug1-2","TS allele with KanMX marker"
"S000006132-1-KanMX","nip7-1","TS allele with KanMX marker"
"S000001859-26-KanMX","mob2-26","TS allele with KanMX marker"
"S000005211-104-KanMX","pik1-104","TS allele with KanMX marker"
"S000001859-38-KanMX","mob2-38","TS allele with KanMX marker"
"S000005211-139-KanMX","pik1-139","TS allele with KanMX marker"
"S000001855-2-KanMX","act1-2","TS allele with KanMX marker"
"S000000441-1-KanMX","prp5-1","TS allele with KanMX marker"
"S000002990-1-KanMX","stt3-1","TS allele with KanMX marker"
"S000004848-1-KanMX","rna1-1","TS allele with KanMX marker"
"S000001047-ts-KanMX","gpa1-ts","TS allele with KanMX marker"
"S000006006-2-KanMX","sec16-2","TS allele with KanMX marker"
"S000001266-1-KanMX","bet1-1","TS allele with KanMX marker"
"S000002764-220-KanMX","spc110-220","TS allele with KanMX marker"
"S000006130-2-KanMX","ipl1-2","TS allele with KanMX marker"
"S000003626-1-KanMX","dpb11-1","TS allele with KanMX marker"
"S000004078-ts-KanMX","gaa1-ts","TS allele with KanMX marker"
"S000004723-1-KanMX","spc24 10-1","TS allele with KanMX marker"
"S000002284-3-KanMX","cdc48-3","TS allele with KanMX marker"
"S000000039-5-KanMX","cdc24-5","TS allele with KanMX marker"
"S000002284-2-KanMX","cdc48-2","TS allele with KanMX marker"
"S000005309-1-KanMX","sec12-1","TS allele with KanMX marker"
"S000003571-159-KanMX","kar2-159","TS allele with KanMX marker"
"S000005499-e72g-KanMX","cdc33-e72g","TS allele with KanMX marker"
"S000001889-8-KanMX","sec4-8","TS allele with KanMX marker"
"S000005601-1-KanMX","ufe1-1","TS allele with KanMX marker"
"S000002461-2-KanMX","cdc34-2","TS allele with KanMX marker"
"S000004370-2-KanMX","sec61-2","TS allele with KanMX marker"
"S000000264-4-KanMX","orc2-4","TS allele with KanMX marker"
"S000001855-111-KanMX","act1-111","TS allele with KanMX marker"
"S000001855-119-KanMX","act1-119","TS allele with KanMX marker"
"S000000264-2-KanMX","orc2-2","TS allele with KanMX marker"
"S000001855-132-KanMX","act1-132","TS allele with KanMX marker"
"S000004258-3-KanMX","sec22-3","TS allele with KanMX marker"
"S000003766-ts-KanMX","hys2-ts","TS allele with KanMX marker"
"S000006259-9-KanMX","sec8-9","TS allele with KanMX marker"
"S000001648-174-KanMX","mcd4-174","TS allele with KanMX marker"
"S000004296-4-KanMX","stt4-4","TS allele with KanMX marker"
"S000004135-ts-KanMX","rmp1-ts","TS allele with KanMX marker"
"S000003098-c354-KanMX","ceg1-c354","TS allele with KanMX marker"
"S000004564-1-KanMX","taf13-1","TS allele with KanMX marker"
"S000000406-ts-KanMX","cdc47-ts","TS allele with KanMX marker"
"S000003837-4-KanMX","cdc11-4","TS allele with KanMX marker"
"S000004718-ts-KanMX","med11-ts","TS allele with KanMX marker"
"S000005082-2-KanMX","srv2-2","TS allele with KanMX marker"
"S000002172-3-KanMX","nop1-3","TS allele with KanMX marker"
"S000004105-1-KanMX","cft2-1","TS allele with KanMX marker"
"S000002616-103-KanMX","mss4-103","TS allele with KanMX marker"
"S000000638-1-KanMX","taf2-1","TS allele with KanMX marker"
"S000004306-3-KanMX","cdc3-3","TS allele with KanMX marker"
"S000002172-2-KanMX","nop1-2","TS allele with KanMX marker"
"S000002175-4-KanMX","cdc7-4","TS allele with KanMX marker"
"S000002299-1-KanMX","rpo21-1","TS allele with KanMX marker"
"S000004258-1-KanMX","sec22-1","TS allele with KanMX marker"
"S000001855-112-KanMX","act1-112","TS allele with KanMX marker"
"S000002324-16-KanMX","cdc36-16","TS allele with KanMX marker"
"S000001855-122-KanMX","act1-122","TS allele with KanMX marker"
"S000002575-ts-KanMX","cdc37-ts","TS allele with KanMX marker"
"S000001855-155-KanMX","act1-155","TS allele with KanMX marker"
"S000003372-2-KanMX","cbf2-2","TS allele with KanMX marker"
"S000002575-1-KanMX","cdc37-1","TS allele with KanMX marker"
"S000004449-1-KanMX","nbp1-1","TS allele with KanMX marker"
"S000001461-2-KanMX","sec11-2","TS allele with KanMX marker"
"S000001855-129-KanMX","act1-129","TS allele with KanMX marker"
"S000001595-102-KanMX","abf1-102","TS allele with KanMX marker"
"S000004833-1-KanMX","erg8-1","TS allele with KanMX marker"
"S000004529-3-KanMX","tem1-3","TS allele with KanMX marker"
"S000001886-2-KanMX","smc1-2","TS allele with KanMX marker"
"S000001234-162-KanMX","ctf8-162","TS allele with KanMX marker"
"S000003411-5-KanMX","okp1-5","TS allele with KanMX marker"
"S000001234-9-KanMX","ctf8-9","TS allele with KanMX marker"
"S000003372-1-KanMX","cbf2-1","TS allele with KanMX marker"
"S000002552-l446a-KanMX","taf12-l446a","TS allele with KanMX marker"
"S000002590-4-KanMX","cdc1-4","TS allele with KanMX marker"
"S000002260-2-KanMX","cdc2-2","TS allele with KanMX marker"
"S000002636-1-KanMX","pcf11-1","TS allele with KanMX marker"
"S000001855-101-KanMX","act1-101","TS allele with KanMX marker"
"S000002736-3-KanMX","skp1-3","TS allele with KanMX marker"
"S000001855-3-KanMX","act1-3","TS allele with KanMX marker"
"S000000752-l67w-KanMX","snu13-l67w","TS allele with KanMX marker"
"S000001855-4-KanMX","act1-4","TS allele with KanMX marker"
"S000000895-5-KanMX","tsc11-5","TS allele with KanMX marker"
"S000005863-ts2-KanMX","kre5-ts2","TS allele with KanMX marker"
"S000000950-i143n-KanMX","spt15-i143n","TS allele with KanMX marker"
"S000001855-125-KanMX","act1-125","TS allele with KanMX marker"
"S000001859-24-KanMX","mob2-24","TS allele with KanMX marker"
"S000001855-133-KanMX","act1-133","TS allele with KanMX marker"
"S000001859-36-KanMX","mob2-36","TS allele with KanMX marker"
"S000001855-136-KanMX","act1-136","TS allele with KanMX marker"
"S000006380-1-KanMX","bet2-1","TS allele with KanMX marker"
"S000006090-ts5-KanMX","mex67-ts5","TS allele with KanMX marker"
"S000000564-17-KanMX","krr1-17","TS allele with KanMX marker"
"S000005707-14-KanMX","las17-14","TS allele with KanMX marker"
"S000000564-18-KanMX","krr1-18","TS allele with KanMX marker"
"S000002248-119-KanMX","ram1-119","TS allele with KanMX marker"
"S000005648-4-KanMX","pfy1-4","TS allele with KanMX marker"
"S000003806-2-KanMX","ssc1-2","TS allele with KanMX marker"
"S000005648-13-KanMX","pfy1-13","TS allele with KanMX marker"
"S000006014-1-KanMX","nog1-1","TS allele with KanMX marker"
"S000003973-5-KanMX","cof1-5","TS allele with KanMX marker"
"S000006387-6-KanMX","dpm1-6","TS allele with KanMX marker"
"S000000032-ts-KanMX","mtw1-ts","TS allele with KanMX marker"
"S000000264-3-KanMX","orc2-3","TS allele with KanMX marker"
"S000000360-3-KanMX","sli15-3","TS allele with KanMX marker"
"S000000339-38-KanMX","cks1-38","TS allele with KanMX marker"
"S000000815-1-KanMX","prp22-1","TS allele with KanMX marker"
"S000003123-2-KanMX","cdc43-2","TS allele with KanMX marker"
"S000001885-3-KanMX","cdc4-3","TS allele with KanMX marker"
"S000003029-2-KanMX","duo1-2","TS allele with KanMX marker"
"S000001595-103-KanMX","abf1-103","TS allele with KanMX marker"
"S000003345-11-KanMX","dam1-11","TS allele with KanMX marker"
"S000001924-1-KanMX","cdc14-1","TS allele with KanMX marker"
"S000006372-ts-KanMX","nut2-ts","TS allele with KanMX marker"
"S000001924-3-KanMX","cdc14-3","TS allele with KanMX marker"
"S000006382-ts-KanMX","prp4-ts","TS allele with KanMX marker"
"S000005600-ts-KanMX","cdc21-ts","TS allele with KanMX marker"
"S000000039-11-KanMX","cdc24-11","TS allele with KanMX marker"
"S000000072-1-KanMX","cdc15-1","TS allele with KanMX marker"
"S000000039-4-KanMX","cdc24-4","TS allele with KanMX marker"
"S000000130-12-KanMX","stu1-12","TS allele with KanMX marker"
"S000000364-4-KanMX","cdc28-4","TS allele with KanMX marker"
"S000001947-1-KanMX","ret2-1","TS allele with KanMX marker"
"S000005783-2-KanMX","cdc31-2","TS allele with KanMX marker"
"S000003061-4-KanMX","spc105-4","TS allele with KanMX marker"
"S000005783-5-KanMX","cdc31-5","TS allele with KanMX marker"
"S000000358-h147r-KanMX","rpb5-h147r","TS allele with KanMX marker"
"S000000313-1-KanMX","cmd1-1","TS allele with KanMX marker"
"S000003853-433-KanMX","fip1-433","TS allele with KanMX marker"
"S000000313-3-KanMX","cmd1-3","TS allele with KanMX marker"
"S000005326-1296-KanMX","mvd1-1296","TS allele with KanMX marker"
"S000005853-16-KanMX","myo2-16","TS allele with KanMX marker"
"S000003345-5-KanMX","dam1-5","TS allele with KanMX marker"
"S000005294-1-KanMX","prp2-1","TS allele with KanMX marker"
"S000003345-9-KanMX","dam1-9","TS allele with KanMX marker"
"S000003175-ts-KanMX","spt16-ts","TS allele with KanMX marker"
"S000003345-19-KanMX","dam1-19","TS allele with KanMX marker"
"S000001447-m4-KanMX","pri1-m4","TS allele with KanMX marker"
"S000003345-1-KanMX","dam1-1","TS allele with KanMX marker"
"S000003826-d11a-KanMX","arp3-d11a","TS allele with KanMX marker"
"S000001406-1-KanMX","tid3-1","TS allele with KanMX marker"
"S000003829-1-KanMX","rfc2-1","TS allele with KanMX marker"
"S000003959-1-KanMX","prp19-1","TS allele with KanMX marker"
"S000005046-ts-KanMX","pol1-ts","TS allele with KanMX marker"
"S000003973-8-KanMX","cof1-8","TS allele with KanMX marker"
"S000005046-2-KanMX","pol1-2","TS allele with KanMX marker"
"S000002467-1-KanMX","mak21-1","TS allele with KanMX marker"
"S000005046-17-KanMX","pol1-17","TS allele with KanMX marker"
"S000002467-3-KanMX","mak21-3","TS allele with KanMX marker"
"S000005046-13-KanMX","pol1-13","TS allele with KanMX marker"
"S000002597-ts-KanMX","sly1-ts","TS allele with KanMX marker"
"S000001532-1-KanMX","cse4-1","TS allele with KanMX marker"
"S000000313-8-KanMX","cmd1-8","TS allele with KanMX marker"
"S000005583-3-KanMX","sgt1-3","TS allele with KanMX marker"
"S000003324-1-KanMX","dbf2-1","TS allele with KanMX marker"
"S000005642-698-KanMX","rpo31-698","TS allele with KanMX marker"
"S000003324-2-KanMX","dbf2-2","TS allele with KanMX marker"
"S000006290-c149r-KanMX","sua7-c149r","TS allele with KanMX marker"
"S000003324-3-KanMX","dbf2-3","TS allele with KanMX marker"
"S000004470-194-KanMX","spt5-194","TS allele with KanMX marker"
"S000002459-1-KanMX","dbf4-1","TS allele with KanMX marker"
"S000003348-14-KanMX","spt6-14","TS allele with KanMX marker"
"S000002459-2-KanMX","dbf4-2","TS allele with KanMX marker"
"S000003388-ts1-KanMX","pti1-ts1","TS allele with KanMX marker"
"S000002459-3-KanMX","dbf4-3","TS allele with KanMX marker"
"S000001380-ser228-KanMX","rho3-ser228","TS allele with KanMX marker"
"S000002459-4-KanMX","dbf4-4","TS allele with KanMX marker"
"S000001595-101-KanMX","abf1-101","TS allele with KanMX marker"
"S000006130-1-KanMX","ipl1-1","TS allele with KanMX marker"
"S000001686-29-KanMX","tor2-29","TS allele with KanMX marker"
"S000002186-1-KanMX","mps1-1","TS allele with KanMX marker"
"S000001745-ts-KanMX","spc34-ts","TS allele with KanMX marker"
"S000002186-3796-KanMX","mps1-3796","TS allele with KanMX marker"
"S000004289-3-KanMX","yhc1-3","TS allele with KanMX marker"
"S000006379-1-KanMX","dpb2-1","TS allele with KanMX marker"
"S000001857-443-KanMX","tub2-443","TS allele with KanMX marker"
"S000001069-821-KanMX","rpn1-821","TS allele with KanMX marker"
"S000003927-70-KanMX","orc3-70","TS allele with KanMX marker"
"S000001207-1-KanMX","dna2-1","TS allele with KanMX marker"
"S000001445-4-KanMX","pan1-4","TS allele with KanMX marker"
"S000003542-1-KanMX","cdc35-1","TS allele with KanMX marker"
"S000003610-1-KanMX","smc3-1","TS allele with KanMX marker"
"S000003098-ts-KanMX","ceg1-ts","TS allele with KanMX marker"
"S000005785-150-KanMX","rpt4-150","TS allele with KanMX marker"
"S000003837-1-KanMX","cdc11-1","TS allele with KanMX marker"
"S000000440-8-KanMX","abd1-8","TS allele with KanMX marker"
"S000004117-8-KanMX","apc2-8","TS allele with KanMX marker"
"S000003098-34-KanMX","ceg1-34","TS allele with KanMX marker"
"S000005785-145-KanMX","rpt4-145","TS allele with KanMX marker"
"S000004076-1-KanMX","smc4-1","TS allele with KanMX marker"
"S000002186-417-KanMX","mps1-417","TS allele with KanMX marker"
"S000004289-6-KanMX","yhc1-6","TS allele with KanMX marker"
"S000002186-6-KanMX","mps1-6","TS allele with KanMX marker"
"S000005454-20-KanMX","rfc4-20","TS allele with KanMX marker"
"S000004289-8-KanMX","yhc1-8","TS allele with KanMX marker"
"S000004778-2-KanMX","cep3-2","TS allele with KanMX marker"
"S000001501-ts1-KanMX","swd2-ts1","TS allele with KanMX marker"
"S000004534-l78r-KanMX","pob3-l78r","TS allele with KanMX marker"
"S000000364-1-KanMX","cdc28-1","TS allele with KanMX marker"
"S000004534-q308k-KanMX","pob3-q308k","TS allele with KanMX marker"
"S000000364-13-KanMX","cdc28-13","TS allele with KanMX marker"
"S000003621-38-KanMX","exo70-38","TS allele with KanMX marker"
"S000004493-4-KanMX","ndc1-4","TS allele with KanMX marker"
"S000005675-1-KanMX","smp3-1","TS allele with KanMX marker"
"S000000314-1-KanMX","alg1-1","TS allele with KanMX marker"
"S000005786-502-KanMX","gcd1-502","TS allele with KanMX marker"
"S000002284-4601-KanMX","cdc48-4601","TS allele with KanMX marker"
"S000002284-9-KanMX","cdc48-9","TS allele with KanMX marker"
"S000002354-1-KanMX","sec31-1","TS allele with KanMX marker"
"S000002188-ts-KanMX","prp9-ts","TS allele with KanMX marker"
"S000004389-18-KanMX","afg2-18","TS allele with KanMX marker"
"S000005046-1-KanMX","pol1-1","TS allele with KanMX marker"
"S000005151-1-KanMX","rio2-1","TS allele with KanMX marker"
"S000006003-1033-KanMX","mot1-1033","TS allele with KanMX marker"
"S000005683-1-KanMX","pup1-1","TS allele with KanMX marker"
"S000006259-6-KanMX","sec8-6","TS allele with KanMX marker"
"S000005853-14-KanMX","myo2-14","TS allele with KanMX marker"
"S000000131-ts-KanMX","pol12-ts","TS allele with KanMX marker"
"S000006149-1-KanMX","cet1-1","TS allele with KanMX marker"
"S000003113-5-KanMX","tip20-5","TS allele with KanMX marker"
"S000000259-ts-KanMX","prp6-ts","TS allele with KanMX marker"
"S000001923-1-KanMX","eco1-1","TS allele with KanMX marker"
"S000003084-3-KanMX","cdc20-3","TS allele with KanMX marker"
"S000000065-m2-KanMX","rfa1-m2","TS allele with KanMX marker"
"S000002201-ts-KanMX","prp11-ts","TS allele with KanMX marker"
"S000000130-5-KanMX","stu1-5","TS allele with KanMX marker"
"S000002222-2-KanMX","ubc9-2","TS allele with KanMX marker"
"S000000172-1-KanMX","ils1-1","TS allele with KanMX marker"
"S000002739-ts-KanMX","gpi8-ts","TS allele with KanMX marker"
"S000002764-221-KanMX","spc110-221","TS allele with KanMX marker"
"S000002494-1-KanMX","rrp1-1","TS allele with KanMX marker"
"S000000927-1-KanMX","rsp5-1","TS allele with KanMX marker"
"S000004106-9-KanMX","msl5-9","TS allele with KanMX marker"
"S000003621-29/37-KanMX","exo70-29/37","TS allele with KanMX marker"
"S000000935-10-KanMX","glc7-10","TS allele with KanMX marker"
"S000001745-1-KanMX","spc34 41-1","TS allele with KanMX marker"
"S000000935-12-KanMX","glc7-12","TS allele with KanMX marker"
"S000005483-4-KanMX","hrp1-4","TS allele with KanMX marker"
"S000003016-25-KanMX","rpt6-25","TS allele with KanMX marker"
"S000002261-ts1-KanMX","qri1-ts1","TS allele with KanMX marker"
"S000003352-1-KanMX","cog2-1","TS allele with KanMX marker"
"S000002261-ts6-KanMX","qri1-ts6","TS allele with KanMX marker"
"S000001310-2-KanMX","neo1-2","TS allele with KanMX marker"
"S000006111-11-KanMX","nab3-11","TS allele with KanMX marker"
"S000001371-2-KanMX","sec24-2","TS allele with KanMX marker"
"S000002520-128-KanMX","pds1-128","TS allele with KanMX marker"
"S000001628-1-KanMX","rpt1-1","TS allele with KanMX marker"
"S000001693-1-KanMX","uba1-1","TS allele with KanMX marker"
"S000006176-2-KanMX","bbp1-2","TS allele with KanMX marker"
"S000001885-1-KanMX","cdc4-1","TS allele with KanMX marker"
"S000001885-1-KanMX","cdc4-1","TS allele with KanMX marker"
"S000004603-1-KanMX","cdc5-1","TS allele with KanMX marker"
"S000004603-1-KanMX","cdc5-1","TS allele with KanMX marker"
"S000002175-1-KanMX","cdc7-1","TS allele with KanMX marker"
"S000002175-1-KanMX","cdc7-1","TS allele with KanMX marker"
"S000002379-1-KanMX","cdc13-1","TS allele with KanMX marker"
"S000002379-1-KanMX","cdc13-1","TS allele with KanMX marker"
"S000000072-2-KanMX","cdc15-2","TS allele with KanMX marker"
"S000000072-2-KanMX","cdc15-2","TS allele with KanMX marker"
"S000001505-1-KanMX","cdc16-1","TS allele with KanMX marker"
